node_u,node_v
225606,263724
275497,137780
186313,40261
312391,205293
296797,306123
12134,30844
254299,193563
250686,299813
171387,277800
12791,146909
118713,42925
83516,251108
117374,287147
197912,20660
242205,44814
104851,299848
186949,191815
43686,119282
241297,113312
229171,62729
99641,27016
49442,303726
291879,55636
7494,263182
123688,157530
161581,273412
163157,306691
70054,50675
157215,113833
280991,295409
38617,30482
41066,116607
24602,94112
11219,82238
253414,216695
69093,184415
281026,42383
251428,60525
187507,306809
217784,185882
272157,235919
143323,253858
129675,197199
311809,235529
26863,33089
69674,70326
301260,112661
100989,240909
181751,39083
17782,223044
283471,52563
230329,70129
103094,19375
148724,277983
237388,233299
135481,282584
275478,306683
32503,262854
124256,12125
156211,23670
233644,211537
56936,267046
275784,227956
304538,245874
251403,131240
215703,280762
142813,246062
143863,275536
107885,235477
150751,23352
285544,239122
211358,10174
3924,87931
259021,175062
155391,288889
200454,284440
277421,273547
4840,169248
182938,227226
54031,309980
174713,183838
6862,210193
47008,118516
226118,196164
111633,141760
192766,190312
204977,271079
275683,176869
188261,85977
129812,64289
192355,241305
107089,109657
125418,217883
78926,242686
34342,299049
230952,219792
147677,257465
297007,76870
183635,222537
267288,265858
38247,308062
57494,53953
82083,166316
71166,194396
185189,167009
45961,89293
298002,75325
14263,266916
184512,76461
115097,193159
284895,40697
57985,232114
210863,39226
71371,71579
112246,249320
195682,186683
70806,106954
154464,113350
181990,160368
26347,132506
298987,238950
46994,110141
286299,68966
279572,168135
269309,225614
115118,70874
6323,218791
264710,258268
77003,261249
248950,205092
55345,225227
261714,4741
227118,196970
151969,280031
32788,286646
248530,142413
44826,193305
112809,152831
128304,44058
265836,184770
16825,13361
268360,25664
127316,151463
60908,303127
85606,237325
283958,50948
50236,85655
236354,40146
261787,98500
95116,237890
309458,186364
147815,156304
75990,12784
221383,207358
291797,30676
14692,22293
294682,243336
141629,149562
215516,131341
230847,228527
240260,22650
37429,224499
39364,254656
14260,146256
29299,120424
292220,160451
261437,78377
129881,46381
92730,305186
69368,122458
123571,16486
74921,184601
243594,304614
276578,124666
58615,61754
74397,298950
300832,75300
83242,166175
245810,206914
80341,128266
269496,14214
309989,30406
155814,301807
283551,21349
300323,104117
161863,240679
149681,228208
51674,226000
266600,83075
23410,38526
301958,204489
229106,74728
214231,86788
126577,35022
192238,69506
303855,61766
9356,212362
2444,280567
49900,260372
273994,227260
17841,105030
291711,41095
66146,3923
246045,300766
109957,80386
21873,5766
44211,91536
296016,149830
268276,301412
32916,26509
308196,233123
267948,65349
139870,217807
76231,253767
262124,297113
77615,131843
196872,62152
101111,50012
168413,174198
101597,8633
307848,217084
70865,86110
78726,261217
169700,95948
142610,106726
95987,220050
167231,176747
285431,144674
99709,269328
113242,150137
55718,49035
132788,141449
138947,55031
232320,52336
250211,124957
5075,150187
301860,78657
149361,303139
215963,263225
224261,125135
17129,112228
192443,92782
162359,98498
175714,26013
280468,88045
259557,246819
259120,17808
25668,18499
195356,69631
42532,282918
162330,288661
194597,192521
103564,186286
284380,36412
241050,65553
252246,99737
98744,59831
153711,147677
140697,267048
216735,143165
29812,52254
250782,287332
205293,119527
13689,147065
235932,265297
4460,143047
208605,184295
109906,156866
177626,190703
66629,179606
271331,212758
270892,295236
277599,148416
64632,88838
286243,185453
121239,114265
277513,273792
52098,119887
126071,294554
169790,305873
196515,91550
88651,244615
271833,129703
197244,311989
226278,281887
162507,231353
169858,123810
158165,47544
251836,291445
282741,107377
192100,65949
220336,92365
252182,251245
287599,291520
311584,301148
217145,177732
38510,179186
283395,53038
192731,2164
4766,162352
16091,129866
132053,228850
134988,145683
296798,145950
292769,227317
292331,189297
251076,13941
288144,11444
280794,306631
84922,51156
35955,197044
73250,206385
30221,287453
245006,293815
164435,218379
164726,193403
60571,84969
267011,132911
854,39812
193095,19574
154384,139836
224236,26047
312253,213548
262864,71200
4941,203242
98507,81064
150165,239906
222022,195813
152441,15828
247411,282386
252326,24007
156387,187762
91492,105315
245075,10215
259170,148588
163527,21997
291284,200156
97462,110280
276191,122286
79432,38543
218017,244583
183729,152976
310711,30430
123925,53540
71151,48145
49281,182764
8908,15228
274804,119563
142637,48235
282578,253529
195528,152715
232653,189956
123264,260270
197586,50871
15165,27839
197284,53957
171337,75170
63698,144068
203444,77614
25670,59637
93638,300126
148767,249283
54482,40719
297860,12613
265089,69073
126929,110015
89509,102104
106682,70003
216387,54477
167922,54921
129339,12033
229895,126242
10670,104060
280472,13964
65625,44564
62655,203685
176771,14529
253437,251929
277010,130518
174079,74258
45538,152137
34710,34307
138826,72248
261524,10971
269545,175934
125162,104952
260498,47077
253229,76572
169972,173893
159215,280242
269359,156605
224955,112134
306484,196174
250819,116036
124020,294629
15904,250499
217779,287266
210167,56432
263970,163493
118611,78539
173520,89817
1752,75739
177845,279317
163139,33300
153118,219447
195470,262519
293455,281780
75915,117462
187632,269314
225820,274950
114538,128113
92013,254189
53703,74795
85302,125322
35930,64854
256986,204832
105276,79577
192973,80565
133768,230118
122243,90912
220976,93905
210229,310943
137578,206414
263984,6453
109982,3594
134587,77960
105069,107766
92477,47134
65587,96951
74237,294729
242128,161516
200870,297065
263831,111533
254085,135750
137275,79406
68791,272772
275054,64133
86987,189117
186812,77267
107067,236596
139362,96707
7435,132352
111731,152966
16658,100120
217613,239037
150386,97123
175594,2726
28809,307501
214746,35354
40876,242165
309749,31651
221168,220917
231005,45347
295051,53351
219349,69120
132139,193254
214952,297967
147772,45621
136778,73684
31539,52256
168092,170262
286729,33844
216125,265027
218946,121188
14936,231723
211628,252968
228654,126568
263780,148465
163681,307163
160311,240376
3360,55213
289567,303586
134587,85152
282040,40455
255751,55358
168000,10743
94946,106519
206943,225106
55236,102308
86198,300616
301342,26943
98450,299628
93353,220790
190984,218135
306715,40659
189519,282817
153769,135915
196008,255539
97252,18770
194107,298019
273814,101556
186449,217887
221641,260897
251336,138275
203466,184346
191831,131313
34898,173067
173999,254209
116296,283464
206115,277909
250491,224163
49719,168167
103891,118525
168422,173770
129745,310980
30963,267599
300634,128632
92264,49990
124868,233850
222240,69713
273083,243323
123229,211585
300994,16424
217008,277340
26470,1465
129067,88449
99321,181097
194458,75010
311769,144960
207043,23180
197855,50032
94291,191970
90933,92335
4859,209667
235183,1526
148627,11309
244392,123049
115367,41469
3158,257653
284081,266326
298565,64858
222904,183067
72616,107725
14834,267298
282800,91590
300342,117882
46417,238933
115463,61952
38405,293993
89109,244646
48678,67459
289624,112122
156881,93375
224849,207233
168660,178621
273908,310439
283103,296023
17121,11944
191775,295405
39621,109070
232903,160469
222381,278311
310358,284524
106132,105493
216637,247653
237565,60440
302582,233470
163592,139750
125535,240052
273038,221446
105754,150837
310323,21555
240362,173725
265047,8340
37485,199286
287285,165353
276162,25340
37831,50578
40356,265982
39964,246477
130823,133443
5192,185590
93021,10077
36798,85257
118083,233041
117386,199045
102759,35934
299723,64706
201198,161279
53904,107571
235511,299779
289804,47187
214734,112876
240635,76544
263556,57386
282927,232693
126066,103421
260958,208255
298526,193564
15548,142720
141224,116480
238712,176443
258818,208705
177496,59528
148307,6605
187178,146240
301865,176017
80860,253618
259884,290045
279412,51374
256895,210642
224565,86610
69341,305056
108113,75922
82535,204713
222178,232626
176587,38848
291434,64352
231029,190876
183143,209172
298428,28346
236334,94720
283149,91149
170057,99283
249969,228700
36851,93177
75426,265768
251847,132045
117607,171685
135545,73607
93916,86864
78285,87507
216220,45485
157962,151578
24499,61630
60550,14003
66930,25315
101746,241436
32874,278193
42347,310558
5899,182631
221875,22501
34627,28260
199739,193337
75246,137168
220941,163348
283998,281764
116985,60316
173959,188286
296337,91552
195917,171806
280932,171972
53170,169098
254002,13803
249409,272153
9453,294833
45814,281275
245247,121175
20097,145374
286960,72603
62037,12589
173429,100961
205362,80105
14,151105
27358,58622
290205,243251
131579,132551
174195,32771
296230,149110
55946,294676
167245,77584
86621,250413
311041,42832
242759,305942
101654,252692
76038,279042
186764,16228
227859,235778
258642,64363
53429,298290
70522,123955
25188,298483
165913,225785
235037,129867
261318,128316
240356,93930
294458,233383
77015,298012
297753,259792
242882,261943
271689,259497
108346,273702
19150,295753
24168,16983
21608,128662
289206,294639
277440,275412
62609,239105
99653,254577
295167,166125
304937,279311
173109,83943
16555,66416
239149,59352
296973,30508
16974,168342
173499,53441
206821,45353
46900,250033
295263,132266
173485,204252
173642,115837
167774,101
79801,198920
223883,216838
296585,309281
76779,252898
71555,150696
104409,138110
227163,238201
146334,106467
149917,295958
177332,176957
66233,13560
246231,220179
45559,94746
37868,172874
6881,226624
16605,218793
267401,175088
236681,107653
69843,184754
178753,63367
144128,64154
5994,206248
99661,152709
225524,175155
114617,214998
203499,70393
160055,109124
173678,240514
5626,979
146167,261931
164919,123278
16829,245725
233492,221476
82042,184392
213215,308510
219947,227483
15768,231083
144910,176161
79494,92059
213440,144214
276718,304742
94909,122584
255606,275719
4042,75265
174267,128684
274024,80605
27510,270374
265805,75573
107248,48896
155566,51228
162821,36821
6874,277950
128502,37327
128827,112256
81871,217510
57376,226229
94720,226433
132355,75767
212715,18466
286509,33019
39241,38152
8766,17781
90749,261297
230720,132728
213581,283800
43409,187720
310447,80169
201629,291442
213970,216206
224239,148794
71420,12570
54749,277209
146788,74716
79809,270645
210635,185452
91337,164769
76198,14189
161542,131655
54454,58806
308484,93152
4755,136940
148176,935
246186,129663
8751,51317
307397,197157
232224,49079
215584,67102
36797,267270
301989,252204
132995,236286
222529,161376
98266,217263
70837,125666
255179,271865
119779,157871
200121,225320
196153,278587
265228,219524
160178,23422
227833,171346
121175,294095
60540,277758
235192,216107
75592,70902
210318,183718
276185,252285
165191,77922
177501,193187
52016,178728
218350,249324
288391,212390
276714,145924
83781,283461
54766,40254
116729,121195
193909,167994
118020,153834
96340,2228
24783,245897
131804,118151
25445,210403
252952,99078
282395,307579
1242,105657
258719,137101
120743,188977
155335,184724
132384,250643
84196,256467
271458,235236
216574,90833
154559,68280
251234,13599
195096,54081
77037,111890
157904,305098
196739,297813
61259,63037
119826,93970
219527,112411
205731,22065
272211,70724
210121,249933
267781,242980
83758,292992
44905,259021
268267,289019
116921,49011
302462,141043
204465,37643
49330,43847
275200,262152
190424,297607
98831,287137
110315,140096
311007,242492
158951,173187
228989,142011
103673,142374
20210,270323
36601,92138
205526,215170
43496,271792
128163,66267
234443,177086
211717,116722
187383,22157
202720,41228
284192,251673
74028,80429
222135,93378
19424,129035
50597,297840
141839,307755
155037,71154
242648,278935
178368,149802
78315,78566
47884,184070
148271,295369
8540,244149
294418,63976
113585,134726
16497,250494
136118,48269
209854,117567
7784,86885
238141,296831
219195,167787
48919,285485
264374,184732
80017,85916
293898,284802
37258,28625
105012,102501
20354,127977
106295,118035
254018,142957
24091,133760
46526,17420
114387,180659
73845,258731
293476,198869
116256,283846
248782,280439
180515,130266
190215,101130
172205,290685
159018,128188
233744,278292
112277,38132
125749,256225
125561,263300
134660,236566
169378,119270
44793,179874
140875,65940
202414,209626
263090,233831
136959,176297
15049,7610
12334,269287
202110,287822
220592,41974
63162,289270
95021,14247
172619,282704
14322,109056
224666,305061
239201,57710
230719,214850
190570,150977
31810,29957
173778,19934
137467,71832
161436,195976
205289,261303
147894,307275
235231,196852
251214,86627
227719,94211
104413,40218
229803,15062
54898,41029
222492,49841
41802,147653
128415,281447
308591,83102
19376,37935
255537,140829
218915,94555
118604,111250
221134,147628
63558,118853
174005,115975
142978,95110
38637,175436
191232,222584
223996,141470
20417,18979
286594,174353
183774,39083
224770,231692
81808,260431
289853,234504
45566,193230
304131,186511
163884,148625
204292,81510
91882,186804
19144,110459
16748,88056
284834,269590
206494,67702
184758,63246
260454,59981
41921,278903
145024,94582
134491,155693
82194,6586
8932,246941
303890,150390
36508,126299
294530,8042
243891,151144
15204,98721
260010,1608
291404,40534
52945,151957
215575,48873
250191,231797
67417,278580
65172,311647
93205,137142
85362,244987
203584,120174
311712,88893
196920,114074
125856,39096
101022,227304
225096,6
41674,126627
77378,205356
194288,297406
306446,13162
254374,311685
245567,304336
8112,44287
89500,132466
280758,155579
123757,92965
206788,219309
261195,24607
168942,79298
119487,132344
193632,82409
1168,23133
42965,215849
254388,6225
201551,77163
65527,289139
244301,230501
58906,84125
136180,232010
110997,73203
270416,311586
170544,259436
46271,77329
305132,104923
134424,56601
265754,233205
266480,225841
116921,77132
8752,31785
99698,237678
254054,49638
43916,286718
269578,209469
165837,251633
284221,91995
106943,239846
47076,99451
103720,201207
108526,259944
150764,220282
90743,131454
11874,95721
309825,229152
145785,204115
197912,39270
297324,272327
54545,182816
48785,148377
178648,208975
278092,17237
291745,157170
307545,263350
2456,71220
308217,290316
109943,17480
201108,114004
90464,50672
4060,226919
126654,203029
268597,79941
265052,193261
259198,84611
64424,101962
14080,109839
250270,210005
310910,32629
10198,175662
130099,41758
256151,221260
147439,181997
260884,93010
217978,182582
111736,150836
207690,236263
242794,136337
89116,37354
220766,77824
215815,199538
220270,90207
254684,66620
164270,147308
39415,274951
111836,224023
150384,96099
195302,157961
188340,3220
244763,58540
4575,215501
135315,287762
289930,26616
139771,303687
192107,206020
252725,168980
214421,266101
244958,50865
212698,169703
260279,46607
80778,282871
126927,87105
250830,91111
104166,243505
78996,96670
60552,283228
201414,149890
39553,201813
308049,106253
248192,92760
95909,236958
176583,134806
135376,68040
113221,135178
76102,249668
234700,297745
13774,260634
5978,243888
66247,212886
18581,292492
289128,224149
219402,18716
228659,97752
268590,217235
153141,289276
78012,49003
141057,183265
41365,118682
278397,228660
101418,283893
305745,150314
170173,125897
63915,185516
213597,79442
1477,243132
146574,213890
221067,112768
308184,185204
105705,174969
69680,144990
95027,54280
88856,142818
240548,33781
284502,93727
293206,190244
215880,204754
253098,650
65422,305556
270471,248988
189866,166306
195578,37779
64745,183762
33988,208123
87006,6361
43925,153373
7855,22873
312514,10153
13300,271389
115938,100954
250077,248524
105024,197563
291322,198532
287759,264116
118438,121404
265614,181052
67829,102645
188070,229513
163644,142155
92322,69013
173690,292445
217735,282636
136727,102536
227454,5589
36526,272596
170060,246249
210090,292114
243124,126213
57672,16019
234467,69015
254003,111527
171078,5894
309224,77480
151295,208455
64212,176650
50263,299103
226421,246987
25069,149186
190679,43648
227950,20390
236193,49796
198559,221380
311776,59481
184492,39358
90024,221164
108604,63564
279206,128544
11093,130940
162609,170651
14708,140116
292683,25258
47478,188095
217188,220340
232468,162223
98395,45435
45339,286593
79646,230440
278857,298501
176437,163643
31312,142602
142823,64894
292978,300435
137635,40596
131992,35672
149640,192075
236191,302658
54422,113058
77690,19984
109737,207989
3488,250117
94473,266278
246133,70070
258132,240494
213318,26459
195271,72300
165699,62662
272069,23879
170060,257341
54756,283629
262365,265553
220087,141693
127590,260365
305118,213270
69984,75913
30223,71225
42316,252173
14853,226679
288142,71325
282528,273737
78396,171921
162896,27156
281234,136803
260237,255679
187583,246296
15614,56124
5251,308450
94060,137204
299757,105417
97145,224972
37563,165613
104537,153049
298107,300514
25355,301211
205528,1549
109712,123150
174740,38357
213108,253079
174727,292261
240537,218502
149250,236425
300854,87634
214680,14725
309945,168673
137968,70128
147974,254005
246577,294153
55213,136333
60797,123212
99539,130394
176203,40505
272575,86640
245597,206488
131881,309313
304545,163442
164807,150529
120595,139762
108666,299973
154379,133751
195486,215518
153903,298326
145056,210122
198930,303319
218485,183793
210955,273257
154029,205014
59552,54976
105262,74196
307389,202419
168506,83525
111944,148858
133734,264634
286394,209681
293,262475
273408,90404
34947,214216
308217,285349
44321,232699
227976,89324
9670,295301
73604,44174
106091,213790
297183,242447
54808,101423
378,287491
309606,286358
132315,295979
72629,11906
175207,184283
93909,296186
183486,280729
3259,202536
133675,78181
230381,170591
296768,19215
305540,239553
93805,232556
266609,98414
270945,52053
141629,118050
281822,78741
67970,298641
82775,24640
88369,81855
240470,129386
221573,180315
203278,88576
70565,134917
29955,194000
284351,241391
263953,105831
225447,128947
175379,87544
301512,175696
71970,85641
127795,8023
87745,125261
97723,71761
17039,297772
72650,207674
72659,50200
15101,288379
36154,253470
262680,183341
93625,293706
281722,95901
233576,56339
194219,3298
194941,6821
50630,192730
54973,242796
154833,37614
22900,304901
47689,20961
41517,300399
140101,281659
138702,222751
265393,22403
159270,126770
41976,9696
256337,55599
118862,303510
211403,114848
310304,283114
303276,285331
162179,147560
77021,182615
200383,144931
26093,78788
279064,255236
237330,87145
234052,195791
9090,243725
185055,11038
305583,283725
106,310627
224706,38050
73402,12055
292768,212099
284678,120381
174349,234735
114330,142760
37097,52996
113452,97284
117714,61372
66749,95224
260857,44866
154301,181099
28783,199365
254126,289100
87116,212432
79192,81004
14432,48505
168690,288419
163892,196002
180869,261807
187680,93977
112901,112983
262701,257404
44426,291389
61650,39792
160394,116016
246959,172185
132066,259766
215317,194784
35305,208476
233547,47827
179683,209769
127209,190112
271656,261499
311292,104236
96807,150360
57125,227048
56303,287506
258739,119550
86593,41149
226574,13744
1923,131061
207539,175721
101656,146645
140045,35041
106783,85741
163453,223516
283243,232274
88567,97634
64789,21724
312056,140855
6832,80889
223736,121004
135437,266785
105080,7149
36926,192851
73662,59813
287277,10085
278315,70826
66919,248924
116995,163700
192311,241490
44546,23773
7667,152824
180802,88207
124482,212337
240841,274829
279554,78034
11916,52365
74967,141985
5873,305115
273525,139881
162504,50077
86958,82059
257431,275836
157844,7703
140958,7129
56622,254648
239174,216710
184379,239580
2045,257339
79395,220709
34112,271268
113941,204856
306206,263648
6869,234207
194615,215709
2984,80610
108962,228163
263610,56187
307989,187063
189154,293700
89668,64467
290372,136034
224816,257891
3095,261968
81523,16638
66194,47738
77659,209035
84487,127615
6138,310574
165187,165621
302892,205476
214958,240147
168024,40897
272629,196863
172296,269206
189600,261534
130940,35644
6255,170334
112665,223246
197568,225814
239016,309670
235095,207901
173237,52626
193203,125648
13428,54825
149113,187604
11067,68957
41330,35988
17887,146254
304735,183105
224748,146249
141442,133272
260433,83462
70077,221513
191031,36752
124093,222972
14081,126671
62198,281438
8528,128839
271169,230029
85596,61821
309426,70582
113579,300044
258149,30155
28477,228358
280658,237611
100012,109463
80571,107904
197236,231070
277048,209588
1447,234909
240718,26406
275741,107808
185262,132536
248167,246474
283398,23444
21079,59715
4640,233525
253126,167194
233192,159777
274890,261375
178319,170735
115882,81858
217124,68806
61218,160365
178657,244322
161244,223015
42889,26325
199925,69883
210377,206804
264870,25459
65767,275046
210796,227909
92713,242701
79323,270351
64204,686
102468,182153
289682,29750
22301,71229
161696,181170
147641,37535
174308,312157
131804,95447
65092,77003
141582,65154
62669,183541
218911,86915
48093,180353
279640,282629
36265,8811
190794,247062
159552,195669
84472,139450
91718,250789
21184,67567
260626,162013
231117,13896
169240,245420
208290,237648
271927,115201
312584,43678
309088,278987
188648,170150
273568,145249
145347,234083
57207,30371
29021,62593
41064,193284
216564,296372
265139,227642
159951,145490
48579,282738
130594,138214
247261,227048
168747,125142
17623,66721
127796,298684
255044,126784
3526,246727
49710,282499
166249,201047
182466,282632
118350,254443
279781,241362
160295,226602
237802,215962
239945,152831
67036,186781
73800,27142
155129,38305
8200,287066
151688,241978
169763,50228
123253,172719
112904,140859
201894,204598
185789,130348
83502,276043
209608,53067
210874,58183
286803,239244
264189,169257
264693,185288
260591,309979
66517,54226
172223,174591
237286,83395
277854,101395
154115,129527
303218,285900
81912,166400
43696,303732
278916,40845
131854,210692
34982,221808
296760,7098
4770,62097
241670,289794
63215,312657
296338,133113
91493,271258
64286,233980
6684,167720
134509,84962
141625,147295
156977,143085
42337,108467
254977,76101
156997,270335
217604,290442
117801,22785
33079,289996
18673,76546
9313,34301
262779,270887
91691,310785
101314,202267
168818,232845
79864,180702
98322,13083
157898,131308
97816,307831
29001,110944
42532,234175
154930,97849
208929,148138
70828,267308
157873,134056
118645,82556
71317,160039
107036,87162
300309,251946
244462,116610
230826,241362
3933,35635
293867,97617
308250,216870
267943,56064
133795,14896
178131,19384
21594,268191
148046,2037
286152,8648
282447,250897
79181,9422
125275,136426
234976,43497
48395,95808
187836,173792
170385,7494
28577,253645
117318,147019
39228,266777
240692,226493
243486,43025
206362,232752
182031,300181
311427,186647
40559,225556
249496,68941
147997,145317
296904,241729
172677,97929
39102,162424
107194,290859
214620,133358
177534,32555
286200,261739
285652,144473
54254,207703
108372,70227
273563,168982
139419,240407
252007,80827
293875,114031
251652,146250
269772,262945
68676,243420
13890,307588
45221,150958
145728,74854
72943,252552
241453,33444
128262,222698
167411,129825
55169,126485
309672,309947
251403,44996
207184,30868
223119,93739
58810,13794
153860,194561
132708,166629
98935,304561
307113,255467
98662,151687
224998,94378
143605,245268
76167,58197
69769,176931
114317,43593
266544,225835
74279,161951
52788,166872
147605,108356
223130,93216
162812,113536
243769,16430
236607,295323
306892,151310
213976,293720
148505,125183
93329,276382
63934,58436
24209,48293
180510,49691
267453,55085
249788,175845
298475,68358
302845,299116
38291,228454
52564,85580
268103,36382
32406,192064
43965,143755
234035,226869
212592,206184
141733,273789
187086,273740
155191,114104
136838,48545
40637,60895
149303,164271
294985,10397
213219,120591
223861,85864
156285,288236
169915,13949
56226,80949
7536,255697
183149,292427
268604,75117
98397,293713
254805,196163
216130,66815
304155,68233
42160,33910
34909,148327
162157,281329
99615,268206
247175,155925
252363,140416
218939,77350
112250,78978
13069,111808
162097,283282
220132,24538
121926,175959
178772,140593
31415,108676
199356,80416
47731,226383
35905,2813
38719,240269
213109,255599
33872,269518
26388,154894
69820,25300
91002,301119
24691,167032
125564,234492
62178,87830
111621,148475
235818,219742
206177,122143
233854,259430
133690,296604
59308,82115
172136,126671
53745,5553
202301,256385
118129,297418
299579,40412
12579,162957
126822,241794
160696,209498
312416,308531
277277,110645
251327,164111
266162,308753
189535,275025
23888,302715
88442,221395
207623,168337
36739,280203
89023,45393
176924,305977
99813,108545
131479,242462
129355,265447
110206,207629
151541,199803
80997,209021
145556,68916
42074,44811
56260,41695
236859,211002
206383,213174
114825,287247
76813,1047
258834,278984
31489,88093
113158,78404
166415,46423
251420,6586
51193,208540
134584,219466
10961,105029
37920,161684
160298,5844
217747,161719
155710,20
21258,41674
170323,71528
148028,221463
235533,109175
195237,253707
134630,28283
255740,178995
63244,269323
262956,13535
102175,123584
302187,69205
214565,183623
89561,109500
215780,113570
284098,146174
296052,79151
257423,284590
239994,306237
309112,155465
291841,262212
112656,291574
227164,127049
290054,170633
274844,264649
10426,104823
162269,46898
252783,182724
209763,231581
231663,182919
86684,159196
66370,165300
178445,245369
298730,3702
148657,165470
87215,214064
119639,122722
109411,198390
29429,310789
131086,254459
146935,283023
70703,93434
208140,24310
63423,188384
5461,38709
184728,266962
310564,115352
124338,222154
128269,36631
228097,29442
154424,129042
310068,251293
228332,189826
196979,35221
67684,254417
88936,279736
29949,279384
58269,161057
294124,212293
249889,84114
294477,303324
55649,161452
88763,33183
292780,164639
15848,55885
221042,102539
211701,953
51563,279037
64069,27416
82541,272648
52041,63778
45662,266065
33647,83592
48528,191230
312061,8098
25452,162988
211181,130028
308608,49319
95187,260014
188106,7990
305371,276416
84330,126313
109467,104037
108936,249374
238905,126701
24538,33658
294484,47692
154632,36621
46109,63171
208732,308228
107242,180004
159889,262576
38801,147023
178385,198533
60868,255477
302225,44155
202334,237554
191249,213834
204623,28070
33184,48033
151315,85967
153886,6872
101320,121573
192425,254058
157297,208889
70978,130575
52780,111473
43626,24688
121216,160123
102979,271206
6857,251700
23507,117007
248646,214160
173448,10733
111180,233338
113755,43395
40006,126130
184990,146661
100454,213035
203195,245345
218715,39111
21437,229967
106895,34022
285826,216670
186943,282369
196251,74894
138452,139661
110160,212975
158032,23182
290606,222524
259607,113912
16191,256591
252953,260533
94412,166551
266068,302154
265476,135223
167909,113579
233608,180613
689,150845
301285,109810
48228,307573
236404,112087
140082,100629
109992,258128
77906,19142
209252,238613
172142,45480
159820,258859
116570,157844
214464,18931
16864,135020
96152,64847
109752,69477
134809,233465
86702,201110
266138,283626
298202,281403
241438,89507
274152,126786
188122,149579
269135,1468
16544,272993
171163,158355
8844,285030
36142,208423
80226,90769
101266,277169
168860,139594
205379,40700
150139,36328
211683,214612
95766,301621
245359,224171
14208,275781
227623,120133
281951,105889
80139,163453
157310,97137
214606,148687
38449,99631
205577,89808
118613,143280
153733,5181
268493,42981
204247,295691
53469,297559
76775,43557
41319,290473
258028,180286
45128,239878
228311,101122
73735,247930
224062,134307
299287,62380
107849,11321
220687,176466
32566,288368
215327,112643
91482,138824
84757,234982
116573,141303
61858,294435
168681,161048
34836,233890
71537,147623
210690,300926
101557,305060
248724,86013
100285,184711
134719,39221
126539,1146
184590,208282
233093,309090
172746,50590
4054,161143
91526,271291
197677,148681
288052,109700
178657,147231
88113,84189
14644,78581
190765,133683
114000,252981
271067,34168
118484,211714
113320,243891
4743,302787
51023,42892
117926,9447
234365,86669
305944,123622
147783,88258
174438,183069
42612,188495
19579,106183
240973,67957
195200,187141
299277,243723
35300,124961
247644,61065
128362,43567
286095,220815
185075,282522
60494,108771
241734,217144
256313,114101
264680,170544
274672,17490
264858,252070
2547,162475
256732,141689
83422,91390
217167,260667
130126,189211
68911,9517
45132,302156
39061,71698
266554,295309
251956,178971
30828,115505
190155,19100
127964,291327
104142,32672
28337,88552
244189,7490
24870,4507
91804,234056
112537,57228
40226,175068
139671,152995
226598,224035
159763,41974
146703,203922
42402,119260
174935,138705
128178,221375
171319,192691
87658,251474
13663,217068
24905,64553
173742,44895
242902,77622
43297,241225
